ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
267,Delhi,Diversity Engineering Scholarship by Indian Government,SC,250000,Medical,Diversity Engineering Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 108538 per year.,International,INR 108538,2 years,2th September 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the EWS category. Applicants must be residents of Jharkhand.
268,Delhi,Merit Social Sciences Scholarship by Ambani Institute,General,1500000,Diploma,Merit Social Sciences Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 50740 per year.,Private,INR 50740,1 years,8th July 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the ST category. Applicants must be residents of Madhya Pradesh.
269,Kerala,Diversity Social Sciences Scholarship by Indian Government,OBC,750000,Ph.D.,Diversity Social Sciences Scholarship by Indian Government provides financial assistance to students in OBC category. The award amount is INR 128959 per year.,NGO,INR 128959,3 years,25th July 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttarakhand.
270,Haryana,Development Engineering Scholarship by Mahatma Gandhi Trust,SC,500000,HSC,Development Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 93462 per year.,Private,INR 93462,4 years,23th September 2025,Applicant must have scored at least 76% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Bihar.
271,Telangana,Youth Literature Scholarship by Tata Foundation,Minority,1000000,Graduation,Youth Literature Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 98850 per year.,Government,INR 98850,1 years,3th July 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Delhi.
272,Gujarat,Innovation Medical Scholarship by Indian Government,SC,1500000,Diploma,Innovation Medical Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 88037 per year.,International,INR 88037,4 years,3th July 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of Uttar Pradesh.
273,Punjab,Empowerment STEM Scholarship by IIT Foundation,SEBC,1000000,HSC,Empowerment STEM Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 110695 per year.,Corporate,INR 110695,1 years,1th August 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Punjab.
274,Tamil Nadu,Sustainability Law Scholarship by Indian Education Trust,ST,0,Post-Graduation,Sustainability Law Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 127157 per year.,NGO,INR 127157,4 years,16th July 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Haryana.
275,Odisha,Leadership Medical Scholarship by Tata Foundation,Minority,500000,HSC,Leadership Medical Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 27238 per year.,Corporate,INR 27238,2 years,20th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the Minority category. Applicants must be residents of Andhra Pradesh.
276,Odisha,Global Law Scholarship by Mahatma Gandhi Trust,SC,1500000,Graduation,Global Law Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 58747 per year.,Government,INR 58747,3 years,29th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
277,Delhi,Merit Entrepreneurship Scholarship by Tata Foundation,EWS,0,Diploma,Merit Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 28846 per year.,Private,INR 28846,1 years,9th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Madhya Pradesh.
